"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"5uM_24h"	"5uM_24h.1"	"5uM_24h.2"	"5uM_24h.3"	"5uM_24h.4"	"5uM_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"UT_48h"	"UT_48h.1"	"UT_48h.2"	"UT_48h.3"	"UT_48h.4"	"UT_48h.5"	"Veh_48h"	"Veh_48h.1"	"Veh_48h.2"	"Veh_48h.3"	"Veh_48h.4"	"Veh_48h.5"	"5uM_48h"	"5uM_48h.1"	"5uM_48h.2"	"5uM_48h.3"	"5uM_48h.4"	"5uM_48h.5"	"10uM_48h"	"10uM_48h.1"	"10uM_48h.2"	"10uM_48h.3"	"10uM_48h.4"	"10uM_48h.5"	"Veh_72h"	"Veh_72h.1"	"Veh_72h.2"	"Veh_72h.3"	"Veh_72h.4"	"Veh_72h.5"
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*"	22520402	19705012	19391268	22010028	21993360	24844264	16314327	19385238	25236370	29858512	20780232	21130494	19346048	19616648	20714472	33513516	19599710	25783764	23193348	28414884	25688824	29147832	22505082	26229672	17342408	25450490	20022220	26352638	31693548	29588504	29850282	52950800	22358588	6459158	38055476	43231136	32254832	35187952	35944392	25205680	30158470	48185976	28290514	33079120	25322634	26655888	22169748	30860160	20364300	25468728	19881876	19447628	17385362	16258527	42147408	51777808	40337924	56796636	68002976	70436272
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)"	1678135	1116401	1558127	2414536	1818532	2289796	1739466	2603443	2686173	4358208	1563624	2439529	1653194	2516247	2951394	5285394	2829536	3280396	1668050	1961925	2017068	2873295	2184678	2724361	1108260	2278570	1160657	1993316	3259879	4371257	4564529	7915144	3142507	1035271	4479265	6447320	5426173	5496390	4491071	3634945	3288193	7076547	4277912	5281917	2229534	4562773	2338608	5713759	2729165	5494258	2287495	2726781	2680583	2605411	6090012	8229555	5719012	7493574	9229158	10327623
"1-palmitoyl-GPC (16:0)"	2578624	3278937	2765128	2911660	2242898	2873708	3258732	3515120	3422757	3387515	3485475	2885331	3217312	2823395	2780433	3274087	2752940	3728484	3983758	4362898	3007787	3087577	3080919	2646222	3789236	4827125	3915076	4327373	4017456	3698433	4934612	4787219	3870531	845294	5405491	5020152	3317660	3350268	4705057	3048488	4825730	5425077	3113819	4011907	4161726	3498582	3412959	3960788	3826163	4367804	4002883	3417034	2956305	2864486	4824551	4919991	5982407	5436184	8818440	6423582
"1-palmitoyl-GPE (16:0)"	78581	107121	71456	91830	NA	98141	209125	215711	156428	158136	138449	124692	180298	123124	167109	185802	166936	214975	150287	174141	142211	150708	120148	108793	129384	143004	138402	198199	156840	94474	108689	187245	174203	NA	217825	197827	126868	162639	132136	101638	184877	206540	NA	113356	101666	87097	109865	105047	91904	88882	90785	99713	92887	72533	150916	182262	247875	286337	288698	285658
"1-palmitoylglycerol (16:0)"	7080343	11189999	9702781	17544684	16318146	8329550	10833059	12543452	21399892	16623413	13493089	9942982	12987887	10521191	9883740	7081457	25492156	15399820	10939111	9069564	11173637	22462468	20341264	18972836	21144288	9517135	10240141	12581957	9819175	12326936	50374776	12994537	11609647	9581128	9248618	13205400	11841559	15609178	11847555	31211454	8524033	12995247	18392118	17901188	11834784	10457562	13811505	9760028	15959808	10000738	13703229	9966786	16628424	22690280	10772399	18493956	16194391	13175452	21257050	17111804
"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)"	16124646	13510197	15209332	19071632	18962444	22492026	10317030	12460049	15964191	21326524	10945957	15193541	15218892	18914720	13910204	26760008	13599710	16967812	20635232	24153188	24015576	24468084	19429160	23747432	11925007	21110824	13487121	22422958	28439484	29585834	13575265	29162966	9752434	3435090	16038594	21259972	23399708	23693916	17410204	12727482	13176455	25250832	22108078	28143024	19761856	23887640	12974170	23543458	14190159	23655480	14104386	18401584	13619887	12647392	18588308	25734772	12615774	19798196	22329522	23829164
"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)"	4901321	3565110	3523509	6042933	4938525	6725407	4276541	5305058	4949663	7998120	4503593	4996002	4808360	6509210	5320817	8728683	5546747	7346602	4022964	5908227	5169345	6905976	5174902	6205948	3124305	5012476	2888514	5410563	7220924	7729066	5840876	11040048	5351385	1549965	7386830	10096488	9088090	8956481	6355226	5940089	4599027	9856577	5847228	6814208	4863302	6685879	4457283	8656025	4293877	8167601	3826549	5252416	4061550	3962869	7876488	8178889	6328759	9378367	8384391	10103523
"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)"	4125282	3400516	3420031	4812937	3439931	4580624	2429720	3539434	3117720	4721986	2461710	3547788	2744223	4515095	3813699	5124199	3934842	3469259	3587864	3741378	3609385	3878827	3938122	4591609	2717115	3801456	3012751	3499054	4591484	5753469	2465671	4486507	2678534	939858	2714749	4669873	3804890	3799698	2960834	2406985	2411723	3439980	4063842	4011678	2537783	4411838	3193188	4998357	2766045	4109448	2875785	3329373	3136209	3039008	3356048	3882601	2724056	3586368	3126867	4096959
"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)"	1835679	1357368	1501175	2084700	1910420	2364901	852846	1258850	1490493	2118855	1041829	1237609	1376254	1596801	1171338	2708679	1261181	1581029	1541461	1957342	1930472	2772545	1918028	2208800	1168297	2055923	1191590	2092161	2666479	2784887	1362473	2834991	1113024	451941	1617664	2030016	1999353	1797233	1734615	1273836	1199281	2114144	1792498	2455868	1622288	2403892	1432546	2668841	1273940	2143716	1534544	1678610	1433501	1344008	2146604	2385082	1656034	2558218	2595880	3018215
"1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*"	14416044	11534689	10529675	13651384	9312734	15250474	7925663	8956315	10857512	15770494	7989002	10060388	10928548	13009334	11857167	19439700	8336656	14680007	9696122	16388706	14511133	19089540	13064114	19187930	11326610	18094890	7862533	13319660	17292440	19500664	15135267	27071476	9040506	3248289	17479578	26383108	14394054	19670140	15918415	14070095	11791824	23636316	21823790	23870504	13933199	21702100	10199031	21436972	11343599	20518380	13355649	12942344	11041202	11803972	21573928	27330658	16321140	27005352	27774248	36534516
"1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*"	854258	670681	928425	1218163	1066275	1684025	841994	1003047	812622	1397017	682752	842366	853781	846665	885294	1780942	990308	932133	540781	1045672	929030	939398	945244	1080372	433154	674927	455363	1070776	1358391	1387348	690771	1923963	752682	203832	1229859	1393796	1034230	1087251	1069356	915495	740695	1846306	650474	1155473	603251	959158	703862	1416449	541966	1227388	626028	704870	733948	452844	1202832	1416321	1003626	1203905	1302807	1674106
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)"	26030258	20128440	21151628	29070756	24830764	31271596	16063885	24038330	23784146	36775792	14682381	25217238	15226057	21512280	23003932	42392716	22839028	27617360	24099956	31474114	26779592	32776766	28851108	35313240	19797704	35625552	16094962	24728304	43947236	54627708	34601736	70804488	27001876	8165406	39958392	55300808	40600716	44815896	36976680	29420338	28099234	57147708	50642404	60203412	28682046	49755816	25933300	56503296	31580708	55466040	23818840	28123048	28750826	27537838	43634768	69269936	46907000	60700872	79613232	93391072
"1-stearoyl-2-oleoyl-GPE (18:0/18:1)"	2831401	2349119	2249782	3944639	2425557	3591054	2860621	3456232	2723415	4423737	2181878	2879789	1911736	2998663	3041490	5382189	3705757	4625750	2274061	3185469	2461385	3365756	2634911	2968771	1668183	3020859	1727628	2758574	3803587	4991073	3817316	6252693	2762097	866586	3589265	5327303	4139263	4145510	3678851	2991214	2556900	5199487	2686050	3516191	1580532	2768105	1796558	3371006	1667834	3157947	1610099	1998892	1740473	1555039	3411642	2553277	4143269	5127441	4443650	5685657
"1-stearoyl-2-oleoyl-GPI (18:0/18:1)*"	530981	388864	352728	581226	410760	573550	283905	389458	296265	449216	231279	392550	231269	443752	425112	569423	412193	446831	476647	522664	406591	509747	525564	609858	447058	671236	506152	557634	795901	1027960	480272	792537	424045	134847	443635	738156	483227	486127	455842	450560	398442	640891	690266	664027	379264	646292	481215	765785	652351	1054126	545928	622749	650498	613793	665385	635467	811504	981183	860874	1139107
"1-stearoyl-2-oleoyl-GPS (18:0/18:1)"	10682115	6696311	7425478	12410044	10842701	11636894	5378561	9018226	8932306	11997050	6313039	8895150	6395649	8326911	7812464	17123552	9115336	11277075	8472619	9629209	10395077	12145097	10186744	11081739	6080712	11479834	5432017	9226797	13644269	14713317	9941706	18727268	7384393	3553881	12402745	16495486	11612852	11492760	12111110	7886279	8481314	18299080	10483805	13138817	8232975	13276216	7706659	14913376	7332727	12907716	6498966	8620787	7878978	7767791	13300253	13734758	13076992	19372920	19227508	22627792
"1-stearoyl-GPC (18:0)"	2931528	3644697	2827025	3125928	2323753	2786681	3297820	3244231	3274815	3085756	3409582	2764421	3233321	2520306	2927240	3486158	3209534	3545686	4261751	4866647	3671202	3784886	2691570	3076886	4617997	4318825	4255895	5447668	5387166	4016579	6498480	7221785	6146818	1317918	7443150	7500656	4727409	4609164	6230538	4605830	6996243	7031163	5271143	6151472	5933691	4463182	5293102	5303968	5465658	6501064	5060629	4542215	4027627	4308125	8010418	8027376	10778791	11821314	14481902	13161078
"1-stearoyl-GPE (18:0)"	301508	299662	257124	265785	290432	340508	452700	504678	490304	522353	464170	429336	378141	362594	457584	554972	540450	514516	496428	583907	462095	367538	408985	409104	453349	553144	417139	482314	535962	449318	1096159	1292550	1122407	283879	1379972	1423139	902313	837531	1154290	879714	1196996	1658209	648258	622783	652200	607669	620311	594659	548403	648643	480128	551216	386762	424803	1531131	1382727	1983533	2155599	2390362	2322401
"1-stearoyl-GPG (18:0)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	127961	128011	117923	NA	107027	176891	59096	71744	138701	NA	79965	124589	NA	NA	48168	NA	NA	NA	NA	NA	NA	NA	NA	NA	90708	117124	161401	151839	263738	139860
"1-stearoyl-GPI (18:0)"	315408	710906	640028	526553	559550	659205	629324	752652	397487	556944	507502	705884	89492	247666	801100	230366	779009	580244	899863	862629	984061	856433	604304	1229886	933293	1280983	1377791	524969	1282512	1843292	1690757	1014358	766391	201715	1239777	1619567	943153	985523	1631041	632884	709085	1404848	1749484	2519463	1763008	1887583	1967236	2201041	576396	2145118	2431904	1553750	1623908	2266847	1750182	1788617	2622145	2018318	3542585	2536974
"1-stearoyl-GPS (18:0)*"	120189	243347	249320	210333	221582	264780	286349	466357	249300	364104	239525	475054	NA	131648	458953	189063	410461	309487	251904	339896	348431	347547	173535	423948	268364	420152	419815	111983	384195	588675	684335	492973	421381	NA	613608	897094	490942	487315	683355	341857	339840	670415	433036	659672	467584	564981	501583	583794	152947	536223	577719	404396	377394	556738	747059	771393	1134190	814895	1408033	1096550
"2'-deoxyadenosine"	113646	229617	166044	116017	65411	106243	415334	502449	171214	362345	197843	405824	63090	118159	264875	143348	261067	140192	183216	141021	150304	185158	78855	93599	270591	143957	201244	159202	164089	332796	173266	209129	423070	38004	191082	215289	198253	367902	125225	67646	167404	163246	101094	104402	66665	175682	71594	65029	79874	NA	26493	39495	59086	NA	378685	171581	422216	227010	221690	501483
"2'-deoxycytidine"	NA	41107	51722	25587	NA	NA	57811	174317	52524	105501	47924	120080	NA	54172	111602	51379	83991	52254	NA	35627	35046	NA	NA	NA	39889	29085	NA	NA	NA	66180	NA	47484	104041	NA	55938	58081	57197	101194	NA	28729	34519	43805	NA	NA	NA	45522	NA	NA	NA	NA	NA	NA	NA	NA	90511	65904	113899	53182	75505	114506
"2-aminoadipate"	148826	123336	NA	108611	114443	NA	185815	199868	163050	217945	178237	195886	61176	NA	190815	NA	200530	214944	126051	131193	NA	NA	NA	117918	NA	142112	128622	NA	131623	111948	293727	295769	277724	NA	318258	267416	158287	222965	329732	67536	330949	366631	140003	132548	117200	147661	131366	141336	105894	NA	83379	76937	NA	NA	302349	259251	352067	347942	494422	417143
"2-hydroxyadipate"	NA	176841	222086	327663	184571	NA	283331	137724	744451	390725	NA	783405	282247	136244	238948	356567	160944	NA	278112	669175	346921	NA	146298	556401	286858	979099	NA	NA	808360	882540	360433	363628	379976	NA	346191	651474	216626	289773	539518	NA	337757	481052	383441	329885	350806	867176	306918	523725	317963	299458	301207	226895	NA	NA	593422	494304	892229	781543	1244460	659881
"2-hydroxyglutarate"	22457080	16363621	15104212	20768068	16063764	15992841	26469520	25556118	23981904	29677014	19747422	22263356	16428818	16452211	25260096	27563656	29454872	25650316	24941264	31045072	21344072	21251496	23591870	23030390	23081172	26892784	23647744	23054188	24277648	22794428	57676408	54545804	57005516	13109942	52564068	59967984	36522080	36669372	61228504	30428908	53984504	60305840	45691584	38018116	37449012	35876256	36301012	34637252	30346122	28340446	26938794	23343666	21420740	19597864	75295000	69305144	93026344	126629944	111938064	99371704
"2-methylbutyrylcarnitine (C5)"	2143549	2309716	2409042	2037674	1823264	2047492	3874374	4480279	3348356	4535999	3208395	4108823	2870181	2530042	4669283	3398871	5288833	3952104	2438615	2198336	2354681	2327202	2255263	1855310	2608815	2003254	1716606	1229277	2705680	2487531	5147796	5359569	6818953	1071037	5481233	4921045	4233813	5341842	5409827	2760005	5634093	5993395	3279824	2479290	2993203	3106983	2432347	2352098	1939597	1381738	1427509	1462024	1712764	1558973	9053805	7113629	12397679	10256729	11191129	11582128
"2-methylcitrate/homocitrate"	201890	200142	175684	184987	209502	162461	186414	216274	177717	177264	193468	152911	167921	149136	164191	172814	190311	173216	218473	205214	179711	160794	188130	132084	198975	207930	159793	151139	208696	211722	257075	195318	218843	108968	230066	192247	135879	209258	181128	150988	266798	232665	196103	184438	170000	182928	241252	268539	163140	170260	119659	147424	214228	137834	236770	254327	283736	305929	330285	270237
"2-palmitoyl-GPC (16:0)*"	209090	428056	315906	398670	298556	282151	309348	383575	324686	342136	194167	348964	124276	116931	715395	209026	307672	272389	349342	440848	362672	338232	206703	316033	350552	519735	463021	359711	435315	510974	529970	364975	363579	43424	462249	551966	273953	296637	513750	313485	378623	604631	416401	450064	475837	384806	377366	384119	249168	476406	464166	324946	350929	401871	525067	510886	748237	665528	894093	796400
"2-stearoyl-GPE (18:0)*"	NA	NA	88736	60684	NA	NA	81648	109911	104185	107518	NA	125302	NA	NA	129584	NA	128137	130936	67548	139534	86409	76658	NA	71691	84848	104627	92332	NA	174512	78726	279747	283253	153522	NA	311994	410955	182410	170405	384834	205747	345041	385392	117690	162302	168545	173875	158902	181234	NA	151231	119530	83857	93331	107569	416728	373362	556202	574170	676383	707384
"3-(4-hydroxyphenyl)lactate"	118523	110148	95201	81615	164805	102109	105229	118439	146689	142168	157573	138543	NA	59598	125096	107050	199776	157353	129278	142688	132392	171280	135013	136110	149384	106523	144473	139975	154597	128894	156787	195564	211793	79652	173522	179781	160098	137742	169420	137905	205228	207878	156337	203653	175372	206402	181680	144226	195728	160557	137557	199494	112627	105035	200727	175188	228999	197546	254280	247699
"3-hydroxy-3-methylglutarate"	19158120	14312985	15521090	20809492	14928894	15886526	17668752	15916509	17587678	20833414	14796232	14856613	14240298	15400521	15423689	18930592	17989716	17403530	23934044	29033518	22742968	20825992	22640202	22200876	21698700	25928568	27478240	27664828	24128816	23791940	13196431	13364446	15473678	3502458	12820047	14221645	11562527	11214588	14357695	6890169	13420861	15363637	20638264	15389981	16863286	17958428	16672001	15954385	15087355	13118439	17244462	14544680	11965072	12187567	14776451	13258744	16105702	20210494	21883260	17620972
"3-hydroxybutyrylcarnitine (1)"	NA	NA	94501	NA	NA	NA	177995	130820	115629	247803	NA	256776	NA	NA	208584	NA	148166	NA	NA	NA	89605	NA	37221	83285	231089	NA	NA	NA	NA	84316	117396	120575	291058	NA	136831	131284	NA	246342	127551	NA	NA	NA	163117	131841	NA	168077	45748	NA	NA	NA	NA	NA	212400	96583	264490	99476	426113	188832	212070	394027
"3-hydroxybutyrylcarnitine (2)"	NA	NA	NA	NA	NA	NA	156370	NA	NA	149587	105771	90435	NA	NA	118554	NA	193665	NA	NA	NA	NA	NA	86325	NA	163670	NA	NA	NA	NA	NA	284222	275685	346217	NA	180083	185204	NA	110084	142516	NA	NA	NA	207273	155147	NA	NA	NA	NA	NA	NA	NA	NA	NA	106545	326159	189805	575565	347884	491367	547740
"3-hydroxydecanoate"	71045	112345	81125	92260	78425	83380	NA	112701	NA	64671	79247	70390	NA	77497	59685	NA	117305	66862	NA	106167	59477	62884	99631	62267	NA	92628	98316	NA	123365	87976	55752	117332	81550	51468	161573	NA	80923	124062	NA	NA	94166	NA	89858	86424	85652	98598	117441	119145	NA	80020	52427	NA	128126	NA	71901	79843	NA	NA	120398	63804
"3-methyl-2-oxobutyrate"	NA	NA	NA	NA	NA	NA	196051	264391	167289	NA	NA	187952	NA	NA	203960	NA	232197	223823	NA	234192	139070	NA	182436	NA	NA	NA	NA	NA	189686	NA	455527	370218	297661	NA	318777	346340	182089	298827	240376	NA	387477	366583	NA	136800	92872	211384	239907	227949	NA	134968	166712	NA	NA	206621	459311	363519	471598	635365	668838	632028
"3-methyl-2-oxovalerate"	NA	NA	202392	223168	NA	NA	346665	269840	335288	363458	307768	265343	NA	202670	276813	NA	158861	260292	264999	NA	NA	NA	174679	136373	202629	172135	NA	142371	NA	224828	653370	602314	537905	NA	492736	648000	439068	242607	513858	180922	584814	652263	329290	326270	293157	274193	229434	159316	394632	NA	208171	283433	NA	248361	676992	512646	937932	956251	813300	1066147
"3-methylhistidine"	NA	NA	NA	NA	NA	NA	113387	71785	81222	NA	NA	84909	NA	NA	101830	NA	226696	NA	NA	NA	NA	44477	NA	NA	NA	NA	NA	NA	62976	60663	148280	223773	NA	NA	112146	114485	112166	105742	81586	NA	272987	98963	71584	NA	NA	NA	40548	58596	NA	NA	NA	NA	NA	NA	507468	184195	542019	366813	700238	790821
"3-phosphoglycerate"	1262003	669741	1101433	1106694	1219436	1185710	1491744	1375829	1768967	1997790	1205333	1135365	1465023	1266571	1919334	1694642	2000100	1939414	1417084	1542937	1430497	1306333	1400951	1433738	1362985	1433568	1376315	1360350	1370526	1309108	2483358	2106392	2884342	849660	2937024	2586678	1988321	1957404	2552175	1588749	3184744	2838756	1854742	1629063	2135526	1896901	1866712	1715060	1596009	1294812	1415970	1330465	1240173	1146606	2239953	1869206	2917559	2840224	3425469	2919847
"3-ureidopropionate"	69513	100493	81420	52517	110527	112843	168961	257812	130507	194941	185155	203978	69909	70292	220419	150171	321906	122762	156051	136068	144073	152423	112934	157556	226903	116054	139854	158289	211423	226770	469306	477250	813439	106741	482251	529643	296687	428691	439187	396491	700885	808559	491167	456617	459092	427691	434535	326351	462857	352424	204727	256843	382849	281365	823214	444862	1484719	1439309	845918	1452226
"4-acetamidobutanoate"	267130	621417	535501	366806	370457	533644	585369	670515	439343	846341	616662	898683	495279	405540	730176	499102	839140	434783	701459	532984	633843	312165	NA	400086	821299	423902	565357	324043	568541	701639	NA	422772	1040648	NA	614650	943232	707950	847440	744350	442080	711492	875643	693409	648390	786900	593531	549538	554429	549005	495782	NA	511753	603580	705196	940957	509072	1210686	805734	771616	1040927
"4-guanidinobutanoate"	3559581	3782803	3420382	3295998	3215944	2900209	9597225	9220704	8102662	8999843	6515857	9143332	4531182	5645194	8493591	7637049	9904147	10316212	7079419	6971679	6612499	5475037	6822570	6458182	6767232	5890133	6325633	5792196	7929747	7829827	15523497	15970985	16363245	2309281	16905186	15905910	10059121	11295154	14790545	6117427	13882270	12692667	9196981	9251055	9575869	9226888	11429090	8262843	7408135	6180458	6575850	6019245	6345179	6246282	11433177	9032011	14410728	13665216	18045108	15008581
"4-hydroxy-nonenal-glutathione"	46463	55466	68257	59974	49280	49684	59103	83552	57156	67317	52900	66505	60535	64842	50915	70013	67438	73588	64135	71526	62689	64596	60995	70756	52376	72631	63764	63415	64079	72185	71845	76548	55169	30604	60375	64718	65971	81664	66074	49047	56634	80014	58330	69785	59383	61571	57092	52561	49565	65665	56423	49475	59080	55159	62987	88236	62106	83525	83998	75140
